index	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
24617	Trifolium pratense	2310946	1111	Seedbank density	Seedbank density	0.0	1/m2
24753	Trifolium pratense	2310955	159	Seedbank type	Seedbank type	transient	
24760	Trifolium pratense	2310955	2809	Seedbank duration	Seedbank duration (month)	18.0	month
24873	Trifolium pratense	2310962	1111	Seedbank density	Seedbank density	0.0	1/m2
25193	Trifolium pratense	2310982	1111	Seedbank density	Seedbank density	0.0	1/m2
25241	Trifolium pratense	2310985	1111	Seedbank density	Seedbank density	0.0	1/m2
25552	Trifolium pratense	2311005	2809	Seedbank duration	Seedbank duration (month)	8.0	month
25577	Trifolium pratense	2311007	159	Seedbank type	Seedbank type	transient	
25969	Trifolium pratense	2311031	1111	Seedbank density	Seedbank density	0.0	1/m2
26292	Trifolium pratense	2311052	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	50.0	mm
26512	Achillea millefolium	2328315	159	Seedbank type	Seedbank type	transient	
26548	Achillea millefolium	2328319	159	Seedbank type	Seedbank type	transient	
26695	Achillea millefolium	2328335	33	Seed (seedbank) longevity	Seedbank longevity index	0.5	year
26825	Achillea millefolium	2328350	159	Seedbank type	Seedbank type	transient	
26861	Achillea millefolium	2328354	159	Seedbank type	Seedbank type	transient	
27043	Achillea millefolium	2328374	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
27086	Achillea millefolium	2328379	159	Seedbank type	Seedbank type	transient	
27293	Achillea millefolium	2328402	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
27347	Achillea millefolium	2328408	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
27354	Achillea millefolium	2328409	159	Seedbank type	Seedbank type	transient	
27363	Achillea millefolium	2328410	159	Seedbank type	Seedbank type	transient	
27383	Achillea millefolium	2328412	33	Seed (seedbank) longevity	Seedbank longevity index	1.0	year
27506	Achillea millefolium	2328426	159	Seedbank type	Seedbank type	transient	
27597	Achillea millefolium	2328436	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
27954	Achillea millefolium	2328476	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
27987	Achillea millefolium	2328480	159	Seedbank type	Seedbank type	transient	
28016	Achillea millefolium	2328483	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
28086	Achillea millefolium	2328491	159	Seedbank type	Seedbank type	transient	
28158	Achillea millefolium	2328499	159	Seedbank type	Seedbank type	transient	
28212	Achillea millefolium	2328505	159	Seedbank type	Seedbank type	transient	
28248	Achillea millefolium	2328509	159	Seedbank type	Seedbank type	transient	
28295	Achillea millefolium	2328514	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
28356	Achillea millefolium	2328521	159	Seedbank type	Seedbank type	transient	
28456	Achillea millefolium	2328532	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
28463	Achillea millefolium	2328533	159	Seedbank type	Seedbank type	short-term persistent	
28483	Achillea millefolium	2328535	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
28481	Achillea millefolium	2328535	159	Seedbank type	Seedbank type	transient	
28510	Achillea millefolium	2328538	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
28731	Achillea millefolium	2328563	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
29042	Achillea millefolium	2328598	159	Seedbank type	Seedbank type	transient	
29080	Achillea millefolium	2328602	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
29098	Achillea millefolium	2328604	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
29141	Achillea millefolium	2328609	159	Seedbank type	Seedbank type	transient	
29293	Trifolium pratense	2341359	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
29503	Trifolium pratense	2341382	159	Seedbank type	Seedbank type	present	
29528	Trifolium pratense	2341385	159	Seedbank type	Seedbank type	transient	
29539	Trifolium pratense	2341386	33	Seed (seedbank) longevity	Seedbank longevity index	0.0	year
29546	Trifolium pratense	2341387	159	Seedbank type	Seedbank type	transient	
